First name	Last name	95#	Email
OSVJAP	lqoudi	951832327	Olqoudi@uoregon.edu
CACZLL	wmugas	951589580	Cwmugas@uoregon.edu
EDDXRH	pslyow	950919122	Epslyow@uoregon.edu
DYIHTI	pinsao	950937229	Dpinsao@uoregon.edu
OIMWSD	fyitzh	950535783	Ofyitzh@uoregon.edu
PUKVOW	iruseh	950706023	Piruseh@uoregon.edu
KSABVM	gjhazk	950426181	Kgjhazk@uoregon.edu
DUUZWE	ukomny	950811276	Dukomny@uoregon.edu
SLVWSP	lfuamy	951864527	Slfuamy@uoregon.edu
QFZVJA	pdmsqs	950754687	Qpdmsqs@uoregon.edu
KTDPXM	xmrzcu	951840291	Kxmrzcu@uoregon.edu
OUJRAI	kejqqn	950359950	Okejqqn@uoregon.edu
TWLICE	fciijb	950849806	Tfciijb@uoregon.edu
VLISSZ	boucdo	951672937	Vboucdo@uoregon.edu
DJGEJX	iobyhd	950843970	Diobyhd@uoregon.edu
YYXOLJ	hhmsfu	950070920	Yhhmsfu@uoregon.edu
UTIOBW	vsilej	951658236	Uvsilej@uoregon.edu
NZMXCK	ywlzii	950451020	Nywlzii@uoregon.edu
FCJUYJ	sjrxyk	951454419	Fsjrxyk@uoregon.edu
HSGXPA	hgwgtm	951493927	Hhgwgtm@uoregon.edu
QFFUEN	jsabha	950408354	Qjsabha@uoregon.edu
OSOXTV	iblbcp	951004248	Oiblbcp@uoregon.edu
HUWTZP	ssksbr	951204291	Hssksbr@uoregon.edu
WZCHBH	cbmanz	950568093	Wcbmanz@uoregon.edu
RWDYZO	tjetxy	950095727	Rtjetxy@uoregon.edu
ZICHWS	cfoyuv	951318201	Zcfoyuv@uoregon.edu
YNUFQI	weyxfm	950222416	Yweyxfm@uoregon.edu
SJPJJW	yjfixm	951737307	Syjfixm@uoregon.edu
QTZCOX	ueoijm	950398652	Queoijm@uoregon.edu
DRBUIF	jigdgp	951908730	Djigdgp@uoregon.edu
QHEHJR	bykrhj	950924559	Qbykrhj@uoregon.edu
VGRGNJ	ewuyel	950423857	Vewuyel@uoregon.edu
YVJZJL	tolfjk	951916680	Ytolfjk@uoregon.edu
UPXFTW	kwtpnn	950593437	Ukwtpnn@uoregon.edu
TIWFRF	jkubjg	951017876	Tjkubjg@uoregon.edu
MRSJEN	tepnoh	951329415	Mtepnoh@uoregon.edu
MKRLRP	uelzei	950107439	Muelzei@uoregon.edu
UKWXCK	yrjhvf	950711259	Uyrjhvf@uoregon.edu
PZLQNA	pluxbu	951582926	Ppluxbu@uoregon.edu
