TotalCalls	TotalFlags	FirstName	LastName	UOID	EmailAddress	DatesCalled
54	54	First	Last	950000001	<none@uoregon.edu>	2020-02-01, 2020-02-02
19	17	UAMZYR	ubnvnz	951433998	<Uubnvnz@uoregon.edu>	2020-02-01, 2020-02-02
23	15	RBBADB	tofqoz	951286336	<Rtofqoz@uoregon.edu>	2020-02-01, 2020-02-02
22	14	PDSANC	nedsog	951831289	<Pnedsog@uoregon.edu>	2020-02-01, 2020-02-02
31	24	LAOLGO	pngbvf	950423142	<Lpngbvf@uoregon.edu>	2020-02-01, 2020-02-02
27	17	IUCHIL	vrulrt	951738124	<Ivrulrt@uoregon.edu>	2020-02-01, 2020-02-02
16	9	RRVJJX	dooqwu	950114980	<Rdooqwu@uoregon.edu>	2020-02-01, 2020-02-02
18	14	QNXIGU	rxqzul	951287838	<Qrxqzul@uoregon.edu>	2020-02-01, 2020-02-02
23	19	BKYHYW	emorzv	950857054	<Bemorzv@uoregon.edu>	2020-02-01, 2020-02-02
38	28	LBCPBZ	gdvdsl	950379110	<Lgdvdsl@uoregon.edu>	2020-02-01, 2020-02-02
22	15	IGVGJB	vahfaw	950558416	<Ivahfaw@uoregon.edu>	2020-02-01, 2020-02-02
28	19	LYGXPP	usocuj	950786647	<Lusocuj@uoregon.edu>	2020-02-01, 2020-02-02
27	19	WVHVEF	obpijg	951689038	<Wobpijg@uoregon.edu>	2020-02-01, 2020-02-02
22	18	IUNJRX	yllgyt	951109553	<Iyllgyt@uoregon.edu>	2020-02-01, 2020-02-02
19	16	CIHTVK	ylztvf	950430022	<Cylztvf@uoregon.edu>	2020-02-01, 2020-02-02
26	20	LLNHHL	klbutn	950417486	<Lklbutn@uoregon.edu>	2020-02-01, 2020-02-02
23	18	JDKTKG	cdmjzg	951924667	<Jcdmjzg@uoregon.edu>	2020-02-01, 2020-02-02
22	12	ANFGJI	aingym	951093786	<Aaingym@uoregon.edu>	2020-02-01, 2020-02-02
21	13	UPTSGD	cstrlm	950743115	<Ucstrlm@uoregon.edu>	2020-02-01, 2020-02-02
19	13	LCKNQI	hflbfw	950229997	<Lhflbfw@uoregon.edu>	2020-02-01, 2020-02-02
21	18	DMTFFU	zeztlk	951956736	<Dzeztlk@uoregon.edu>	2020-02-01, 2020-02-02
21	13	JNWSKV	ogiqen	951627791	<Jogiqen@uoregon.edu>	2020-02-01, 2020-02-02
30	20	VVFBXN	hdmubp	950606417	<Vhdmubp@uoregon.edu>	2020-02-01, 2020-02-02
21	15	WLNOEI	vmtolt	951059811	<Wvmtolt@uoregon.edu>	2020-02-01, 2020-02-02
16	9	NXMXYT	nafgni	951396614	<Nnafgni@uoregon.edu>	2020-02-01, 2020-02-02
26	21	RKEAZT	dhnotd	951768989	<Rdhnotd@uoregon.edu>	2020-02-01, 2020-02-02
19	16	ZHAAOU	wxafaz	950580833	<Zwxafaz@uoregon.edu>	2020-02-01, 2020-02-02
30	20	ABDTZX	vjgbpd	950306634	<Avjgbpd@uoregon.edu>	2020-02-01, 2020-02-02
26	21	ALFAHJ	dtgwrb	951115290	<Adtgwrb@uoregon.edu>	2020-02-01, 2020-02-02
22	17	RPDQSH	etnnom	950877139	<Retnnom@uoregon.edu>	2020-02-01, 2020-02-02
