First name	Last name	95#	Email
IUNJRX	yllgyt	951109553	Iyllgyt@uoregon.edu
DMTFFU	zeztlk	951956736	Dzeztlk@uoregon.edu
NXMXYT	nafgni	951396614	Nnafgni@uoregon.edu
ZHAAOU	wxafaz	950580833	Zwxafaz@uoregon.edu
RPDQSH	etnnom	950877139	Retnnom@uoregon.edu
JDKTKG	cdmjzg	951924667	Jcdmjzg@uoregon.edu
IGVGJB	vahfaw	950558416	Ivahfaw@uoregon.edu
VVFBXN	hdmubp	950606417	Vhdmubp@uoregon.edu
RRVJJX	dooqwu	950114980	Rdooqwu@uoregon.edu
RKEAZT	dhnotd	951768989	Rdhnotd@uoregon.edu
LCKNQI	hflbfw	950229997	Lhflbfw@uoregon.edu
PDSANC	nedsog	951831289	Pnedsog@uoregon.edu
UAMZYR	ubnvnz	951433998	Uubnvnz@uoregon.edu
ALFAHJ	dtgwrb	951115290	Adtgwrb@uoregon.edu
RBBADB	tofqoz	951286336	Rtofqoz@uoregon.edu
CIHTVK	ylztvf	950430022	Cylztvf@uoregon.edu
WVHVEF	obpijg	951689038	Wobpijg@uoregon.edu
LAOLGO	pngbvf	950423142	Lpngbvf@uoregon.edu
BKYHYW	emorzv	950857054	Bemorzv@uoregon.edu
WLNOEI	vmtolt	951059811	Wvmtolt@uoregon.edu
QNXIGU	rxqzul	951287838	Qrxqzul@uoregon.edu
UPTSGD	cstrlm	950743115	Ucstrlm@uoregon.edu
ABDTZX	vjgbpd	950306634	Avjgbpd@uoregon.edu
LBCPBZ	gdvdsl	950379110	Lgdvdsl@uoregon.edu
LYGXPP	usocuj	950786647	Lusocuj@uoregon.edu
IUCHIL	vrulrt	951738124	Ivrulrt@uoregon.edu
ANFGJI	aingym	951093786	Aaingym@uoregon.edu
LLNHHL	klbutn	950417486	Lklbutn@uoregon.edu
JNWSKV	ogiqen	951627791	Jogiqen@uoregon.edu
