TotalCalls	TotalFlags	FirstName	LastName	UOID	EmailAddress	DatesCalled
1	1	JDKTKG	cdmjzg	951924667	<Jcdmjzg@uoregon.edu>	2020-02-02
4	4	RRVJJX	dooqwu	950114980	<Rdooqwu@uoregon.edu>	2020-02-02
1	1	LLNHHL	klbutn	950417486	<Lklbutn@uoregon.edu>	2020-02-02
2	2	ABDTZX	vjgbpd	950306634	<Avjgbpd@uoregon.edu>	2020-02-02
2	2	PDSANC	nedsog	951831289	<Pnedsog@uoregon.edu>	2020-02-02
2	2	RKEAZT	dhnotd	951768989	<Rdhnotd@uoregon.edu>	2020-02-02
1	1	LAOLGO	pngbvf	950423142	<Lpngbvf@uoregon.edu>	2020-02-02
4	4	WVHVEF	obpijg	951689038	<Wobpijg@uoregon.edu>	2020-02-02
3	3	RBBADB	tofqoz	951286336	<Rtofqoz@uoregon.edu>	2020-02-02
1	1	DMTFFU	zeztlk	951956736	<Dzeztlk@uoregon.edu>	2020-02-02
1	1	LBCPBZ	gdvdsl	950379110	<Lgdvdsl@uoregon.edu>	2020-02-02
3	3	IGVGJB	vahfaw	950558416	<Ivahfaw@uoregon.edu>	2020-02-02
2	2	QNXIGU	rxqzul	951287838	<Qrxqzul@uoregon.edu>	2020-02-02
2	2	WLNOEI	vmtolt	951059811	<Wvmtolt@uoregon.edu>	2020-02-02
2	2	LYGXPP	usocuj	950786647	<Lusocuj@uoregon.edu>	2020-02-02
3	3	UAMZYR	ubnvnz	951433998	<Uubnvnz@uoregon.edu>	2020-02-02
1	1	RPDQSH	etnnom	950877139	<Retnnom@uoregon.edu>	2020-02-02
2	2	ZHAAOU	wxafaz	950580833	<Zwxafaz@uoregon.edu>	2020-02-02
2	2	ANFGJI	aingym	951093786	<Aaingym@uoregon.edu>	2020-02-02
1	1	BKYHYW	emorzv	950857054	<Bemorzv@uoregon.edu>	2020-02-02
1	1	JNWSKV	ogiqen	951627791	<Jogiqen@uoregon.edu>	2020-02-02
1	1	LCKNQI	hflbfw	950229997	<Lhflbfw@uoregon.edu>	2020-02-02
1	1	CIHTVK	ylztvf	950430022	<Cylztvf@uoregon.edu>	2020-02-02
1	1	IUNJRX	yllgyt	951109553	<Iyllgyt@uoregon.edu>	2020-02-02
1	1	NXMXYT	nafgni	951396614	<Nnafgni@uoregon.edu>	2020-02-02
1	1	ALFAHJ	dtgwrb	951115290	<Adtgwrb@uoregon.edu>	2020-02-02
