TotalCalls	TotalFlags	FirstName	LastName	UOID	EmailAddress	DatesCalled
5	5	IUCHIL	vrulrt	951738124	<Ivrulrt@uoregon.edu>	2020-02-02
3	2	JNWSKV	ogiqen	951627791	<Jogiqen@uoregon.edu>	2020-02-02
2	1	CIHTVK	ylztvf	950430022	<Cylztvf@uoregon.edu>	2020-02-02
1	0	IUNJRX	yllgyt	951109553	<Iyllgyt@uoregon.edu>	2020-02-02
2	2	VVFBXN	hdmubp	950606417	<Vhdmubp@uoregon.edu>	2020-02-02
1	1	DMTFFU	zeztlk	951956736	<Dzeztlk@uoregon.edu>	2020-02-02
2	2	LLNHHL	klbutn	950417486	<Lklbutn@uoregon.edu>	2020-02-02
2	2	RBBADB	tofqoz	951286336	<Rtofqoz@uoregon.edu>	2020-02-02
2	2	ALFAHJ	dtgwrb	951115290	<Adtgwrb@uoregon.edu>	2020-02-02
2	2	UAMZYR	ubnvnz	951433998	<Uubnvnz@uoregon.edu>	2020-02-02
2	2	QNXIGU	rxqzul	951287838	<Qrxqzul@uoregon.edu>	2020-02-02
2	2	LYGXPP	usocuj	950786647	<Lusocuj@uoregon.edu>	2020-02-02
3	2	WVHVEF	obpijg	951689038	<Wobpijg@uoregon.edu>	2020-02-02
1	1	BKYHYW	emorzv	950857054	<Bemorzv@uoregon.edu>	2020-02-02
1	1	PDSANC	nedsog	951831289	<Pnedsog@uoregon.edu>	2020-02-02
2	2	ANFGJI	aingym	951093786	<Aaingym@uoregon.edu>	2020-02-02
2	2	WLNOEI	vmtolt	951059811	<Wvmtolt@uoregon.edu>	2020-02-02
1	1	RKEAZT	dhnotd	951768989	<Rdhnotd@uoregon.edu>	2020-02-02
1	1	RRVJJX	dooqwu	950114980	<Rdooqwu@uoregon.edu>	2020-02-02
1	1	RPDQSH	etnnom	950877139	<Retnnom@uoregon.edu>	2020-02-02
1	1	NXMXYT	nafgni	951396614	<Nnafgni@uoregon.edu>	2020-02-02
1	0	LBCPBZ	gdvdsl	950379110	<Lgdvdsl@uoregon.edu>	2020-02-02
